prompt,old,new
Pablo Picasso,Pablo Picasso,art
Vincent van Gogh,Vincent van Gogh,art
Andrew Ferez,Andrew Ferez,art
Alex Alemany,Alex Alemany,art
Eugene von Guerard,Eugene von Guerard,art
Edwin Austin Abbey,Edwin Austin Abbey,art
Andreas Achenbach,Andreas Achenbach,art
Norman Ackroyd,Norman Ackroyd,art
Ansel Adams,Ansel Adams,art
Arthur Adams,Arthur Adams,art
Neal Adams,Neal Adams,art
Mattias Adolfsson,Mattias Adolfsson,art
Petros Afshar,Petros Afshar,art
Ivan Aivazovsky,Ivan Aivazovsky,art
David Aja,David Aja,art
Alessio Albi,Alessio Albi,art
Rafael Albuquerque,Rafael Albuquerque,art
Miles Aldridge,Miles Aldridge,art
Shahab Alizadeh,Shahab Alizadeh,art
Mike Allred,Mike Allred,art
Albrecht Altdorfer,Albrecht Altdorfer,art
Yoshitaka Amano,Yoshitaka Amano,art
Tarsila do Amaral,Tarsila do Amaral,art
Cuno Amiet,Cuno Amiet,art
Fernando Amorsolo,Fernando Amorsolo,art
Jay Anacleto,Jay Anacleto,art
Anna Ancher,Anna Ancher,art
Richard Anderson,Richard Anderson,art
Wes Anderson,Wes Anderson,art
Alex Andreev,Alex Andreev,art
Esao Andrews,Esao Andrews,art
Martin Ansin,Martin Ansin,art
Chiho Aoshima,Chiho Aoshima,art
Karel Appel,Karel Appel,art
Apterus,Apterus,art
Alexander Archipenko,Alexander Archipenko,art
Giuseppe Arcimboldo,Giuseppe Arcimboldo,art
Mordecai Ardon,Mordecai Ardon,art
Rolf Armstrong,Rolf Armstrong,art
Alois Arnegger,Alois Arnegger,art
Floris Arntzenius,Floris Arntzenius,art
Agostino Arrivabene,Agostino Arrivabene,art
Artgerm,Artgerm,art
Henry Asencio,Henry Asencio,art
Balthasar van der Ast,Balthasar van der Ast,art
Nikolai Astrup,Nikolai Astrup,art
Eugène Atget,Eugène Atget,art
John James Audubon,John James Audubon,art
Frank Auerbach,Frank Auerbach,art
Richard Avedon,Richard Avedon,art
Chris Bachalo,Chris Bachalo,art
Anne Bachelier,Anne Bachelier,art
Tom Bagshaw,Tom Bagshaw,art
Alice Bailly,Alice Bailly,art
Karol Bak,Karol Bak,art
Ralph Bakshi,Ralph Bakshi,art
Christopher Balaskas,Christopher Balaskas,art
Emily Balivet,Emily Balivet,art
Peder Balke,Peder Balke,art
"Benedick Bana, messy, streaks","Benedick Bana, messy, streaks",art
George Barbier,George Barbier,art
Clive Barker,Clive Barker,art
Wayne Barlowe,Wayne Barlowe,art
Ernie Barnes,Ernie Barnes,art
Will Barnet,Will Barnet,art
Angela Barrett,Angela Barrett,art
Paul Barson,Paul Barson,art
Bo Bartlett,Bo Bartlett,art
Casey Baugh,Casey Baugh,art
Gifford Beal,Gifford Beal,art
Aubrey Beardsley,Aubrey Beardsley,art
Beatrix Potter,Beatrix Potter,art
Beeple,Beeple,art
Zdzislaw Beksinski,Zdzislaw Beksinski,art
Hans Bellmer,Hans Bellmer,art
George Bellows,George Bellows,art
Ludwig Bemelmans,Ludwig Bemelmans,art
Alexandre Benois,Alexandre Benois,art
Earle Bergey,Earle Bergey,art
John Berkey,John Berkey,art
